policy,gamma,policy_lr,dialogues,complete_rate,success_rate_strict,avg_return,turns,avg_actions
gamma .90 low LR,0.90,0.0001,0,0.610,0.478,6.686,10.674,4.6409
gamma .90 low LR,0.90,0.0001,5000,0.640,0.580,18.882,10.718,4.4858
gamma .90 low LR,0.90,0.0001,10000,0.654,0.580,19.346,10.254,4.4851
gamma .99 low LR,0.99,0.0001,0,0.610,0.478,6.686,10.674,4.6409
gamma .99 low LR,0.99,0.0001,5000,0.656,0.588,20.262,10.298,4.8783
gamma .99 low LR,0.99,0.0001,10000,0.682,0.584,20.138,9.942,4.9549
gamma .90 high LR,0.90,0.0003,0,0.610,0.478,6.686,10.674,4.6409
gamma .90 high LR,0.90,0.0003,10000,0.716,0.584,20.656,9.424,4.1184
gamma .90 high LR,0.90,0.0003,20000,0.724,0.574,20.400,8.480,3.9808
gamma .90 high LR,0.90,0.0003,30000,0.614,0.514,12.574,9.106,3.9038
gamma .90 high LR,0.90,0.0003,40000,0.632,0.534,15.536,8.544,4.3308
gamma .99 high LR,0.99,0.0003,0,0.610,0.478,6.686,10.674,4.6409
gamma .99 high LR,0.99,0.0003,10000,0.802,0.562,19.318,8.122,4.5873
gamma .99 high LR,0.99,0.0003,20000,0.832,0.594,23.220,8.060,4.6487
gamma .99 high LR,0.99,0.0003,30000,0.794,0.572,20.472,8.168,4.8065
gamma .99 high LR,0.99,0.0003,40000,0.762,0.554,19.426,7.054,5.2552
